Foot,Phase,Slope,Intervention,Max Flexion,Max Abduction,Max Adduction,Max Internal Rotation,Max External Rotation,,,,,,,,,,,,,
Left,P1,0,1,137.47,5.80,-2.40,N/A,-10.08,,,,,,,,,,,,,
Left,P1,0,1,132.80,14.46,N/A,6.06,-8.90,,,,,,,,,,,,,
Left,P1,0,1,134.17,6.35,N/A,2.75,-4.43,,,,,,,,,,,,,
Left,P1,0,1,132.46,9.29,N/A,N/A,-15.90,,,,,,,,,,,,,
Left,P1,0,1,138.44,5.34,-0.71,4.50,-6.00,,,,,,,,,,,,,
Left,P1,0,1,142.02,11.92,N/A,N/A,-10.23,,,,,,,,,,,,,
Left,P1,0,1,140.10,14.95,N/A,N/A,-12.73,,,,,,,,,,,,,
Left,P1,0,1,139.35,19.93,N/A,N/A,-11.00,,,,,,,,,,,,,
Left,P1,0,1,135.63,21.56,N/A,N/A,-9.13,,,,,,,,,,,,,
Left,P1,0,1,134.20,19.12,N/A,N/A,-8.88,,,,,,,,,,,,,
Left,P1,0,1,141.65,N/A,-6.66,0.78,-8.03,,,,,,,,,,,,,
Left,P1,0,1,143.01,N/A,-8.39,5.40,-6.53,,,,,,,,,,,,,
Left,P1,0,1,147.56,N/A,-7.52,6.24,-5.01,,,,,,,,,,,,,
Left,P1,0,1,144.44,N/A,-6.84,4.17,-1.78,,,,,,,,,,,,,
Left,P1,0,1,144.79,N/A,-8.32,6.68,-0.36,,,,,,,,,,,,,
Left,P1,0,1,160.85,12.43,N/A,N/A,-18.67,,,,,,,,,,,,,
Left,P1,0,1,161.00,11.88,N/A,N/A,-19.62,,,,,,,,,,,,,
Left,P1,0,1,161.15,12.30,N/A,N/A,-19.98,,,,,,,,,,,,,
Left,P1,0,1,160.78,12.14,N/A,N/A,-20.69,,,,,,,,,,,,,
Left,P1,0,1,160.77,11.05,N/A,N/A,-18.55,,,,,,,,,,,,,
Left,P1,0,1,119.27,13.88,N/A,5.47,-2.75,,,,,,,,,,,,,
Left,P1,0,1,118.63,15.10,N/A,4.19,-0.83,,,,,,,,,,,,,
Left,P1,0,1,119.19,15.44,N/A,2.60,-2.35,,,,,,,,,,,,,
Left,P1,0,1,120.74,15.52,N/A,3.71,-1.67,,,,,,,,,,,,,
Left,P1,0,1,119.37,14.52,N/A,3.44,-1.61,,,,,,,,,,,,,
